Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1370.0,0.45666666666666667,-0.2833333333333333,-0.4831955522462645,46121.15075599699,3000.0,2.5525547445255476,60,FD-NoF,0.75,0.95,0.05,25
2,1187.0,0.39566666666666667,1.6695196007695994,-0.3022201373429324,46121.15075599699,3000.0,1.7245155855096883,60,FD-NoF,0.75,0.95,0.05,25
3,1154.0,0.38466666666666666,4.625210548160741,-0.23869328485397773,46121.15075599699,3000.0,3.4991334488734833,60,FD-NoF,0.75,0.95,0.05,25
4,1149.0,0.383,5.718387314792764,-0.01899106432852808,46121.15075599699,3000.0,2.5735422106179286,60,FD-NoF,0.75,0.95,0.05,25
5,1170.0,0.39,5.965562579929639,-0.011708619320905889,46121.15075599699,3000.0,1.164957264957265,60,FD-NoF,0.75,0.95,0.05,25
6,1080.0,0.36,3.6717573539968527,0.029736792210023757,46121.15075599699,3000.0,2.8787037037037035,60,FD-NoF,0.75,0.95,0.05,25
7,1105.307692307692,0.36843589743589733,2.947794252502291,0.12985920684502114,46121.15075599699,3000.0,5.638640429338103,60,FD-NoF,0.75,0.95,0.05,25
8,942.0,0.314,2.9692382507746107,0.3124745264907402,46121.15075599699,3000.0,2.964968152866242,60,FD-NoF,0.75,0.95,0.05,25
9,969.0,0.323,2.845330686153857,0.4048025391315281,46121.15075599699,3000.0,3.3296921549155907,60,FD-NoF,0.75,0.95,0.05,25
10,1160.0,0.38666666666666666,2.935570729462271,0.4097790032450356,46121.15075599699,3000.0,1.7025862068965518,60,FD-NoF,0.75,0.95,0.05,25
11,1034.0,0.3446666666666667,3.036604014986619,0.4073550261953409,46121.15075599699,3000.0,2.1595744680851063,60,FD-NoF,0.75,0.95,0.05,25
12,949.0,0.31633333333333336,2.9740992340618133,0.4032745424093447,46121.15075599699,3000.0,2.338250790305585,60,FD-NoF,0.75,0.95,0.05,25
13,1014.0,0.338,3.0137555412609154,0.4062990564915626,46121.15075599699,3000.0,1.319526627218935,60,FD-NoF,0.75,0.95,0.05,25
14,1067.0,0.3556666666666667,4.299298834550178,0.4075012284588925,46121.15075599699,3000.0,2.14058106841612,60,FD-NoF,0.75,0.95,0.05,25
15,926.9999999999998,0.30899999999999994,4.468681970201948,0.3972654455476003,46121.15075599699,3000.0,3.0647249190938513,60,FD-NoF,0.75,0.95,0.05,25
16,951.0,0.317,4.6578492874077675,0.39665841610171726,46121.15075599699,3000.0,3.440041710114703,60,FD-NoF,0.75,0.95,0.05,25
17,914.0000000000002,0.30466666666666675,4.803761906915769,0.4249107837793967,46121.15075599699,3000.0,3.202407002188184,60,FD-NoF,0.75,0.95,0.05,25
