Step,TotalDoado,nivelCompartilhamento,fairness,satisfaction,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,2814.9999999999995,0.46916666666666657,-0.36666666666666664,-0.6666666666666666,75898.33364301593,6000.0,0.7632863340563991,60,Transitive FD-NoF,0.75,0.95,0.05,25
2,1476.0000000000002,0.24600000000000002,0.17090705415547436,-0.5333333333333333,75898.33364301593,6000.0,0.4081858407079646,60,Transitive FD-NoF,0.75,0.95,0.05,25
3,3407.9999999999995,0.568,1.3376403300945943,-0.43333333333333335,75898.33364301593,6000.0,0.9670828603859251,60,Transitive FD-NoF,0.75,0.95,0.05,25
4,2411.0,0.4018333333333333,1.9258158428195058,-0.4,75898.33364301593,6000.0,0.6691645850679989,60,Transitive FD-NoF,0.75,0.95,0.05,25
5,792.0,0.132,2.358403877033052,-0.3333333333333333,75898.33364301593,6000.0,0.22006112809113643,60,Transitive FD-NoF,0.75,0.95,0.05,25
6,2527.0000000000023,0.421166666666667,2.5584246356456806,-0.3,75898.33364301593,6000.0,0.7224128073184677,60,Transitive FD-NoF,0.75,0.95,0.05,25
7,3255.0,0.5425,2.040175482776966,-0.27245974597459743,75898.33364301593,6000.0,1.6455995274660367,60,Transitive FD-NoF,0.75,0.95,0.05,25
8,2049.9999999999973,0.34166666666666623,2.4305796912012503,-0.2391264126412641,75898.33364301593,6000.0,0.6408252578930916,60,Transitive FD-NoF,0.75,0.95,0.05,25
9,2776.0000000000073,0.4626666666666679,2.497286040012868,-0.1724597459745973,75898.33364301593,6000.0,0.8093294460641399,60,Transitive FD-NoF,0.75,0.95,0.05,25
10,1495.0000000000005,0.24916666666666673,2.6271910936733107,-0.17245974597459737,75898.33364301593,6000.0,0.40625,60,Transitive FD-NoF,0.75,0.95,0.05,25
11,1605.0000000000002,0.2675,2.7158852854856304,-0.13912641264126402,75898.33364301593,6000.0,0.47122724603640637,60,Transitive FD-NoF,0.75,0.95,0.05,25
12,1595.0000000000018,0.26583333333333364,2.7822083844312973,-0.139126412641264,75898.33364301593,6000.0,0.47969924812030074,60,Transitive FD-NoF,0.75,0.95,0.05,25
13,695.0,0.11583333333333333,2.869131643946624,-0.039126412641264,75898.33364301593,6000.0,0.20617027588252743,60,Transitive FD-NoF,0.75,0.95,0.05,25
14,1669.9999999999852,0.2783333333333309,2.311301945449957,-0.005793079307930834,75898.33364301593,6000.0,0.48363741673906746,60,Transitive FD-NoF,0.75,0.95,0.05,25
15,1961.0000000000005,0.3268333333333334,2.3987152513047425,-0.005793079307930856,75898.33364301593,6000.0,0.6435838529701345,60,Transitive FD-NoF,0.75,0.95,0.05,25
16,2596.9512987012986,0.43282521645021643,2.445810227012666,0.02726680480270044,75898.33364301593,6000.0,0.802158273381295,60,Transitive FD-NoF,0.75,0.95,0.05,25
17,2093.0000000000005,0.3488333333333334,2.503745268394346,0.02729913426790276,75898.33364301593,6000.0,0.6795454545454546,60,Transitive FD-NoF,0.75,0.95,0.05,25
18,545.000000000003,0.09083333333333382,2.5196768732746233,0.060635646532479985,75898.33364301593,6000.0,0.1630272210589291,60,Transitive FD-NoF,0.75,0.95,0.05,25
19,2757.999999999999,0.4596666666666665,2.5789753112031635,0.06064818473170786,75898.33364301593,6000.0,0.8201011002081475,60,Transitive FD-NoF,0.75,0.95,0.05,25
20,629.0,0.10483333333333333,2.617883475004137,0.060656968096161265,75898.33364301593,6000.0,0.17894736842105263,60,Transitive FD-NoF,0.75,0.95,0.05,25
21,507.00000000000006,0.0845,2.647571535001719,0.06066369754593059,75898.33364301593,6000.0,0.1424557459960663,60,Transitive FD-NoF,0.75,0.95,0.05,25
22,2461.9999999999973,0.4103333333333329,2.728814983024014,0.060663998056321174,75898.33364301593,6000.0,0.6896358543417367,60,Transitive FD-NoF,0.75,0.95,0.05,25
23,1775.8084444444446,0.2959680740740741,2.700711902818577,0.05195235414606098,75898.33364301593,6000.0,0.9950693374422188,60,Transitive FD-NoF,0.75,0.95,0.05,25
24,719.5,0.11991666666666667,2.6388218755948865,0.05157327226864887,75898.33364301593,6000.0,0.2542841348811498,60,Transitive FD-NoF,0.75,0.95,0.05,25
25,1371.0000000000002,0.22850000000000004,2.6269870880347663,0.08493151539176477,75898.33364301593,6000.0,0.44154589371980674,60,Transitive FD-NoF,0.75,0.95,0.05,25
26,983.0000000000002,0.16383333333333336,2.573586946403943,0.08580744089869294,75898.33364301593,6000.0,0.3107809042048688,60,Transitive FD-NoF,0.75,0.95,0.05,25
27,1378.470996732026,0.22974516612200432,2.53303419324624,0.11812763107430493,75898.33364301593,6000.0,0.6003184713375797,60,Transitive FD-NoF,0.75,0.95,0.05,25
28,1708.8323863636363,0.2848053977272727,2.5968022376661035,0.11713651115998142,75898.33364301593,6000.0,0.6824364281490243,60,Transitive FD-NoF,0.75,0.95,0.05,25
29,1060.8100775193798,0.1768016795865633,2.5725700395680593,0.10675628338630447,75898.33364301593,6000.0,2.246775288526816,60,Transitive FD-NoF,0.75,0.95,0.05,25
30,840.0,0.14,2.5764542346789834,0.10602322078631787,75898.33364301593,6000.0,0.41987577639751555,60,Transitive FD-NoF,0.75,0.95,0.05,25
31,1589.9999999999989,0.2649999999999998,2.594265781946277,0.10323929892852217,75898.33364301593,6000.0,1.0800481492627143,60,Transitive FD-NoF,0.75,0.95,0.05,25
32,1671.804985145127,0.27863416419085446,2.6097150531912456,0.13289269978680943,75898.33364301593,6000.0,0.9799932180400136,60,Transitive FD-NoF,0.75,0.95,0.05,25
33,1591.3461024033438,0.2652243504005573,2.6221054147805445,0.12777371139815544,75898.33364301593,6000.0,1.0368281353682813,60,Transitive FD-NoF,0.75,0.95,0.05,25
34,994.7500000000002,0.1657916666666667,2.6328944293299945,0.16088352591996666,75898.33364301593,6000.0,0.41792970009674296,60,Transitive FD-NoF,0.75,0.95,0.05,25
35,697.9166666666665,0.11631944444444442,2.630496010086158,0.16048462811856007,75898.33364301593,6000.0,0.3455617425483131,60,Transitive FD-NoF,0.75,0.95,0.05,25
36,1021.9422657952068,0.1703237109658678,2.641513542785948,0.14598327184146587,75898.33364301593,6000.0,4.1374627360053,60,Transitive FD-NoF,0.75,0.95,0.05,25
37,555.0000000000002,0.09250000000000004,2.6352443315228244,0.17853282985781976,75898.33364301593,6000.0,0.486905916585839,60,Transitive FD-NoF,0.75,0.95,0.05,25
38,812.0000000000001,0.13533333333333336,2.628490606691072,0.20392466492356276,75898.33364301593,6000.0,1.2808290155440414,60,Transitive FD-NoF,0.75,0.95,0.05,25
39,768.9999999999999,0.12816666666666665,2.6245535694727797,0.20150092668009956,75898.33364301593,6000.0,0.766016713091922,60,Transitive FD-NoF,0.75,0.95,0.05,25
40,764.0,0.12733333333333333,2.6247449584670326,0.20039312415378316,75898.33364301593,6000.0,0.43842530282637954,60,Transitive FD-NoF,0.75,0.95,0.05,25
41,529.7714285714287,0.08829523809523812,2.6013769031282172,0.20014362673514693,75898.33364301593,6000.0,0.2378129117259552,60,Transitive FD-NoF,0.75,0.95,0.05,25
42,657.5,0.10958333333333334,2.611582892343321,0.19901254287879797,75898.33364301593,6000.0,0.3114311431143114,60,Transitive FD-NoF,0.75,0.95,0.05,25
43,622.7607427055702,0.10379345711759504,2.609151871015245,0.19566203560181442,75898.33364301593,6000.0,0.7978690065810091,60,Transitive FD-NoF,0.75,0.95,0.05,25
44,591.2272727272727,0.09853787878787879,2.6115780048851733,0.1954620046237645,75898.33364301593,6000.0,0.31109022556390975,60,Transitive FD-NoF,0.75,0.95,0.05,25
45,721.0,0.12016666666666667,2.62554454900767,0.19388594003948342,75898.33364301593,6000.0,0.9247416020671835,60,Transitive FD-NoF,0.75,0.95,0.05,25
46,670.0,0.11166666666666666,2.6244988004361227,0.22448217883789348,75898.33364301593,6000.0,1.044151565074135,60,Transitive FD-NoF,0.75,0.95,0.05,25
47,379.0000000000002,0.0631666666666667,2.627134303321273,0.22434212221580252,75898.33364301593,6000.0,0.23696534498907273,60,Transitive FD-NoF,0.75,0.95,0.05,25
48,589.25,0.09820833333333333,2.6281939239762426,0.22188247932146687,75898.33364301593,6000.0,0.5421268538971284,60,Transitive FD-NoF,0.75,0.95,0.05,25
49,638.4000000000001,0.10640000000000001,2.6330474342204564,0.2553486820473086,75898.33364301593,6000.0,0.22183871979918418,60,Transitive FD-NoF,0.75,0.95,0.05,25
50,754.5897435897439,0.12576495726495732,2.6308334192483573,0.25518175794547193,75898.33364301593,6000.0,0.30227552275522757,60,Transitive FD-NoF,0.75,0.95,0.05,25
51,649.302370564282,0.10821706176071366,2.6303544108615577,0.2873451358491553,75898.33364301593,6000.0,0.6448321263989467,60,Transitive FD-NoF,0.75,0.95,0.05,25
52,273.42857142857156,0.045571428571428596,2.622393074154396,0.32031909023701927,75898.33364301593,6000.0,0.29964221824686943,60,Transitive FD-NoF,0.75,0.95,0.05,25
53,330.0079365079366,0.05500132275132277,2.6225094809283456,0.320100447414671,75898.33364301593,6000.0,0.20366277233975372,60,Transitive FD-NoF,0.75,0.95,0.05,25
54,585.6666666666665,0.09761111111111108,2.6447424303439084,0.35274870996903257,75898.33364301593,6000.0,0.43811576354679804,60,Transitive FD-NoF,0.75,0.95,0.05,25
55,604.2435737061564,0.1007072622843594,2.646540990549263,0.34564089808637455,75898.33364301593,6000.0,1.8975105075978014,60,Transitive FD-NoF,0.75,0.95,0.05,25
56,512.547223301044,0.08542453721684067,2.6482882357317012,0.3437803243962846,75898.33364301593,6000.0,0.7866831072749692,60,Transitive FD-NoF,0.75,0.95,0.05,25
57,373.5,0.06225,2.64817089413116,0.34368666711107665,75898.33364301593,6000.0,0.23341375150784077,60,Transitive FD-NoF,0.75,0.95,0.05,25
58,642.2929584352078,0.10704882640586796,2.650639279920031,0.34315457494594187,75898.33364301593,6000.0,0.48489616110761485,60,Transitive FD-NoF,0.75,0.95,0.05,25
59,654.3809523809523,0.10906349206349204,2.655212029700581,0.3415067660357081,75898.33364301593,6000.0,0.5650284185891007,60,Transitive FD-NoF,0.75,0.95,0.05,25
60,617.0,0.10283333333333333,2.6556600111202915,0.333817612981278,75898.33364301593,6000.0,0.796849887495982,60,Transitive FD-NoF,0.75,0.95,0.05,25
61,644.1340206185569,0.10735567010309281,2.669813045053298,0.33264099148558995,75898.33364301593,6000.0,0.523841059602649,60,Transitive FD-NoF,0.75,0.95,0.05,25
62,371.0,0.06183333333333333,2.65535435088517,0.33269493272191714,75898.33364301593,6000.0,0.29244031830238726,60,Transitive FD-NoF,0.75,0.95,0.05,25
63,558.0,0.093,2.6641401907480335,0.32973614847650723,75898.33364301593,6000.0,1.25,60,Transitive FD-NoF,0.75,0.95,0.05,25
64,581.65,0.09694166666666666,2.6732220041965724,0.3296926607439047,75898.33364301593,6000.0,0.2773578705225107,60,Transitive FD-NoF,0.75,0.95,0.05,25
65,376.85898764295047,0.06280983127382508,2.6763909022502608,0.328978402925626,75898.33364301593,6000.0,0.4098155673648015,60,Transitive FD-NoF,0.75,0.95,0.05,25
66,498.70924574209243,0.08311820762368208,2.678894771757222,0.3280251606025039,75898.33364301593,6000.0,0.4740528494110156,60,Transitive FD-NoF,0.75,0.95,0.05,25
67,433.5,0.07225,2.6801441716362415,0.3607769101905447,75898.33364301593,6000.0,0.5444408002623811,60,Transitive FD-NoF,0.75,0.95,0.05,25
68,387.5000000000001,0.06458333333333335,2.6836202080682123,0.3606599240665152,75898.33364301593,6000.0,0.21348314606741572,60,Transitive FD-NoF,0.75,0.95,0.05,25
69,311.0,0.051833333333333335,2.6872187663067844,0.36054576115679565,75898.33364301593,6000.0,0.31047992164544563,60,Transitive FD-NoF,0.75,0.95,0.05,25
70,383.0,0.06383333333333334,2.6906417898553774,0.3604387441781446,75898.33364301593,6000.0,0.3082010582010582,60,Transitive FD-NoF,0.75,0.95,0.05,25
71,365.0,0.060833333333333336,2.6914109295127395,0.3596935473523221,75898.33364301593,6000.0,0.5844290657439446,60,Transitive FD-NoF,0.75,0.95,0.05,25
72,476.9999999999998,0.07949999999999996,2.6957055377938,0.3582192832595597,75898.33364301593,6000.0,0.7729709035222052,60,Transitive FD-NoF,0.75,0.95,0.05,25
73,447.9999999999998,0.07466666666666663,2.694947732312747,0.3578548755968233,75898.33364301593,6000.0,0.711340206185567,60,Transitive FD-NoF,0.75,0.95,0.05,25
74,554.0,0.09233333333333334,2.6983175304487554,0.3568674640849115,75898.33364301593,6000.0,0.7721518987341772,60,Transitive FD-NoF,0.75,0.95,0.05,25
