Seed,Ganho,C,k,n
1,1.16,C=50,k=3,n=60
2,1.85,C=50,k=3,n=60
3,1.08,C=50,k=3,n=60
4,1.13,C=50,k=3,n=60
5,1.52,C=50,k=3,n=60
6,2.14,C=50,k=3,n=60
7,0.39,C=50,k=3,n=60
8,1.91,C=50,k=3,n=60
9,1.90,C=50,k=3,n=60
10,1.72,C=50,k=3,n=60
11,1.00,C=50,k=3,n=60
12,1.10,C=50,k=3,n=60
13,2.45,C=50,k=3,n=60
14,2.69,C=50,k=3,n=60
15,2.52,C=50,k=3,n=60
16,0.17,C=50,k=3,n=60
17,1.44,C=50,k=3,n=60
18,1.03,C=50,k=3,n=60
19,2.34,C=50,k=3,n=60
20,1.87,C=50,k=3,n=60
21,1.23,C=50,k=3,n=60
22,0.62,C=50,k=3,n=60
23,2.23,C=50,k=3,n=60
24,1.43,C=50,k=3,n=60
25,0.41,C=50,k=3,n=60
26,1.52,C=50,k=3,n=60
27,1.41,C=50,k=3,n=60
28,2.25,C=50,k=3,n=60
29,1.64,C=50,k=3,n=60
30,0.70,C=50,k=3,n=60
1,1.95,C=100,k=3,n=60
2,-0.06,C=100,k=3,n=60
3,2.25,C=100,k=3,n=60
4,2.27,C=100,k=3,n=60
5,1.47,C=100,k=3,n=60
6,1.06,C=100,k=3,n=60
7,-0.15,C=100,k=3,n=60
8,0.01,C=100,k=3,n=60
9,-0.60,C=100,k=3,n=60
10,3.05,C=100,k=3,n=60
11,2.27,C=100,k=3,n=60
12,1.06,C=100,k=3,n=60
13,2.03,C=100,k=3,n=60
14,2.57,C=100,k=3,n=60
15,0.82,C=100,k=3,n=60
16,-0.54,C=100,k=3,n=60
17,1.61,C=100,k=3,n=60
18,1.43,C=100,k=3,n=60
19,1.99,C=100,k=3,n=60
20,2.04,C=100,k=3,n=60
21,0.83,C=100,k=3,n=60
22,4.15,C=100,k=3,n=60
23,2.41,C=100,k=3,n=60
24,1.45,C=100,k=3,n=60
25,1.99,C=100,k=3,n=60
26,-0.02,C=100,k=3,n=60
27,1.62,C=100,k=3,n=60
28,1.64,C=100,k=3,n=60
29,1.52,C=100,k=3,n=60
30,1.69,C=100,k=3,n=60
1,15.01,C=50,k=4,n=60
2,13.72,C=50,k=4,n=60
3,12.28,C=50,k=4,n=60
4,14.22,C=50,k=4,n=60
5,11.90,C=50,k=4,n=60
6,14.63,C=50,k=4,n=60
7,12.71,C=50,k=4,n=60
8,14.80,C=50,k=4,n=60
9,13.34,C=50,k=4,n=60
10,15.52,C=50,k=4,n=60
11,13.64,C=50,k=4,n=60
12,14.99,C=50,k=4,n=60
13,14.19,C=50,k=4,n=60
14,16.83,C=50,k=4,n=60
15,16.40,C=50,k=4,n=60
16,13.69,C=50,k=4,n=60
17,14.96,C=50,k=4,n=60
18,13.96,C=50,k=4,n=60
19,15.02,C=50,k=4,n=60
20,14.07,C=50,k=4,n=60
21,13.14,C=50,k=4,n=60
22,12.84,C=50,k=4,n=60
23,17.31,C=50,k=4,n=60
24,13.04,C=50,k=4,n=60
25,13.39,C=50,k=4,n=60
26,14.60,C=50,k=4,n=60
27,15.37,C=50,k=4,n=60
28,14.22,C=50,k=4,n=60
29,13.56,C=50,k=4,n=60
30,13.58,C=50,k=4,n=60
1,14.06,C=100,k=4,n=60
2,11.48,C=100,k=4,n=60
3,13.89,C=100,k=4,n=60
4,12.68,C=100,k=4,n=60
5,12.47,C=100,k=4,n=60
6,12.23,C=100,k=4,n=60
7,9.51,C=100,k=4,n=60
8,12.02,C=100,k=4,n=60
9,11.68,C=100,k=4,n=60
10,13.41,C=100,k=4,n=60
11,13.45,C=100,k=4,n=60
12,9.27,C=100,k=4,n=60
13,12.29,C=100,k=4,n=60
14,16.06,C=100,k=4,n=60
15,12.89,C=100,k=4,n=60
16,13.46,C=100,k=4,n=60
17,12.67,C=100,k=4,n=60
18,13.47,C=100,k=4,n=60
19,10.62,C=100,k=4,n=60
20,12.82,C=100,k=4,n=60
21,12.22,C=100,k=4,n=60
22,14.55,C=100,k=4,n=60
23,14.85,C=100,k=4,n=60
24,10.40,C=100,k=4,n=60
25,12.62,C=100,k=4,n=60
26,15.90,C=100,k=4,n=60
27,13.26,C=100,k=4,n=60
28,16.52,C=100,k=4,n=60
29,12.88,C=100,k=4,n=60
30,11.57,C=100,k=4,n=60
1,23.90,C=50,k=5,n=60
2,21.43,C=50,k=5,n=60
3,19.55,C=50,k=5,n=60
4,22.73,C=50,k=5,n=60
5,21.85,C=50,k=5,n=60
6,25.85,C=50,k=5,n=60
7,26.46,C=50,k=5,n=60
8,26.24,C=50,k=5,n=60
9,22.23,C=50,k=5,n=60
10,24.37,C=50,k=5,n=60
11,21.46,C=50,k=5,n=60
12,25.06,C=50,k=5,n=60
13,22.95,C=50,k=5,n=60
14,25.03,C=50,k=5,n=60
15,25.24,C=50,k=5,n=60
16,23.05,C=50,k=5,n=60
17,26.28,C=50,k=5,n=60
18,21.30,C=50,k=5,n=60
19,20.26,C=50,k=5,n=60
20,21.55,C=50,k=5,n=60
21,21.90,C=50,k=5,n=60
22,17.57,C=50,k=5,n=60
23,22.07,C=50,k=5,n=60
24,24.72,C=50,k=5,n=60
25,23.87,C=50,k=5,n=60
26,23.13,C=50,k=5,n=60
27,27.27,C=50,k=5,n=60
28,24.24,C=50,k=5,n=60
29,21.71,C=50,k=5,n=60
30,20.22,C=50,k=5,n=60
1,28.67,C=100,k=5,n=60
2,26.34,C=100,k=5,n=60
3,25.18,C=100,k=5,n=60
4,25.04,C=100,k=5,n=60
5,27.22,C=100,k=5,n=60
6,24.82,C=100,k=5,n=60
7,20.77,C=100,k=5,n=60
8,29.20,C=100,k=5,n=60
9,26.17,C=100,k=5,n=60
10,25.62,C=100,k=5,n=60
11,26.18,C=100,k=5,n=60
12,23.23,C=100,k=5,n=60
13,27.49,C=100,k=5,n=60
14,22.34,C=100,k=5,n=60
15,25.69,C=100,k=5,n=60
16,31.71,C=100,k=5,n=60
17,26.33,C=100,k=5,n=60
18,25.87,C=100,k=5,n=60
19,26.56,C=100,k=5,n=60
20,31.97,C=100,k=5,n=60
21,22.49,C=100,k=5,n=60
22,26.68,C=100,k=5,n=60
23,27.77,C=100,k=5,n=60
24,24.52,C=100,k=5,n=60
25,28.61,C=100,k=5,n=60
26,27.39,C=100,k=5,n=60
27,25.47,C=100,k=5,n=60
28,29.35,C=100,k=5,n=60
29,24.85,C=100,k=5,n=60
30,27.97,C=100,k=5,n=60
1,0.78,C=50,k=3,n=20
2,0.76,C=50,k=3,n=20
3,-0.88,C=50,k=3,n=20
4,-0.65,C=50,k=3,n=20
5,1.09,C=50,k=3,n=20
6,-0.29,C=50,k=3,n=20
7,0.62,C=50,k=3,n=20
8,-0.60,C=50,k=3,n=20
9,-1.38,C=50,k=3,n=20
10,-0.06,C=50,k=3,n=20
11,0.01,C=50,k=3,n=20
12,0.26,C=50,k=3,n=20
13,0.09,C=50,k=3,n=20
14,0.34,C=50,k=3,n=20
15,0.58,C=50,k=3,n=20
16,-0.15,C=50,k=3,n=20
17,1.29,C=50,k=3,n=20
18,0.00,C=50,k=3,n=20
19,-0.23,C=50,k=3,n=20
20,-0.37,C=50,k=3,n=20
21,0.39,C=50,k=3,n=20
22,-1.10,C=50,k=3,n=20
23,1.32,C=50,k=3,n=20
24,1.09,C=50,k=3,n=20
25,-0.89,C=50,k=3,n=20
26,1.21,C=50,k=3,n=20
27,-0.59,C=50,k=3,n=20
28,0.42,C=50,k=3,n=20
29,0.07,C=50,k=3,n=20
30,0.35,C=50,k=3,n=20
1,0.39,C=100,k=3,n=20
2,0.44,C=100,k=3,n=20
3,2.54,C=100,k=3,n=20
4,1.17,C=100,k=3,n=20
5,1.04,C=100,k=3,n=20
6,1.50,C=100,k=3,n=20
7,-0.34,C=100,k=3,n=20
8,0.52,C=100,k=3,n=20
9,1.17,C=100,k=3,n=20
10,0.47,C=100,k=3,n=20
11,1.31,C=100,k=3,n=20
12,-3.18,C=100,k=3,n=20
13,0.79,C=100,k=3,n=20
14,0.46,C=100,k=3,n=20
15,0.97,C=100,k=3,n=20
16,0.91,C=100,k=3,n=20
17,0.56,C=100,k=3,n=20
18,0.28,C=100,k=3,n=20
