Passo,Nível_de_Compartilhamento,Justiça,Satisfação,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,1.0,-0.75,0.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
2,1.0,-0.375,0.5,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
3,1.0,0.125,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
4,1.0,0.1875,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
5,1.0,0.1875,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
6,1.0,0.125,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
7,1.0,0.14583333333333331,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
8,1.0,0.14583333333333331,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
9,1.0,0.125,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
10,1.0,0.13541666666666663,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
11,1.0,0.13541666666666663,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
12,1.0,0.125,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
13,1.0,0.13124999999999998,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
14,1.0,0.13124999999999998,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
15,1.0,0.125,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
16,1.0,0.12916666666666665,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
17,1.0,0.1291666666666667,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
18,1.0,0.125,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
19,1.0,0.12797619047619047,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
20,1.0,0.12797619047619052,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
21,1.0,0.125,1.0,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
22,0.5,0.1345238095238095,0.9886363636363636,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
23,0.5,0.1428571428571429,0.9782608695652174,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
24,0.5,0.15000000000000002,0.96875,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
25,0.5,0.15833333333333333,0.96,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
26,0.5,0.16562500000000002,0.9519230769230769,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
27,0.5,0.171875,0.9444444444444444,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
28,0.5,0.17922794117647056,0.9375,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
29,0.5,0.18566176470588236,0.9310344827586207,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
30,0.5,0.19117647058823528,0.925,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
31,0.5,0.19771241830065367,0.9193548387096774,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
32,0.5,0.2034313725490196,0.9140625,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
33,0.5,0.20833333333333337,0.9090909090909091,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
34,0.5,0.21418128654970758,0.9044117647058824,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
35,0.5,0.2192982456140351,0.9,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
36,0.5,0.22368421052631576,0.8958333333333334,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
37,0.5,0.22894736842105262,0.8918918918918919,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
38,0.5,0.23355263157894735,0.8881578947368421,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
39,0.5,0.23750000000000004,0.8846153846153846,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
40,0.5,0.2422619047619048,0.88125,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
41,0.5,0.24642857142857144,0.8780487804878049,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
42,0.5,0.25,0.875,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
43,0.5,0.2543290043290043,0.872093023255814,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
44,0.5,0.2581168831168831,0.8693181818181819,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
45,0.5,0.26136363636363635,0.8666666666666667,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
46,0.5,0.2653162055335968,0.8641304347826086,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
47,0.5,0.26877470355731226,0.8617021276595744,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
48,0.5,0.2717391304347826,0.859375,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
49,0.5,0.2753623188405797,0.8571428571428571,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
50,0.5,0.2785326086956521,0.855,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
51,0.5,0.28125,0.8529411764705882,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
52,0.5,0.2845833333333334,0.8509615384615384,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
53,0.5,0.2875,0.8490566037735849,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
54,0.5,0.29000000000000004,0.8472222222222222,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
55,0.5,0.293076923076923,0.8454545454545455,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
56,0.5,0.2957692307692308,0.84375,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
57,0.5,0.298076923076923,0.8421052631578947,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
58,0.5,0.30092592592592593,0.8405172413793104,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
59,0.5,0.30341880341880345,0.8389830508474576,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
60,0.5,0.3055555555555556,0.8375,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
61,0.5,0.30820105820105814,0.8360655737704918,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
62,0.5,0.310515873015873,0.8346774193548387,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
63,0.5,0.3125,0.8333333333333334,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
64,0.5,0.31496305418719217,0.83203125,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
65,0.5,0.3171182266009852,0.8307692307692308,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
66,0.5,0.3189655172413792,0.8295454545454546,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
67,0.5,0.321264367816092,0.8283582089552239,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
68,0.5,0.3232758620689655,0.8272058823529411,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
69,0.5,0.32500000000000007,0.8260869565217391,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
70,0.5,0.3271505376344086,0.825,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
71,0.5,0.3290322580645162,0.823943661971831,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
72,0.5,0.3306451612903225,0.8229166666666666,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
73,0.5,0.3326612903225806,0.821917808219178,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
74,0.5,0.3344254032258065,0.8209459459459459,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
75,0.5,0.3359375,0.8200000000000001,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
76,0.5,0.33783143939393945,0.819078947368421,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
77,0.5,0.33948863636363635,0.8181818181818181,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
78,0.5,0.34090909090909083,0.8173076923076923,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
79,0.5,0.3426916221033869,0.8164556962025317,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
80,0.5,0.3442513368983957,0.815625,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
81,0.5,0.34558823529411764,0.8148148148148148,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
82,0.5,0.3472689075630252,0.8140243902439024,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
83,0.5,0.3487394957983193,0.8132530120481928,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
84,0.5,0.3500000000000001,0.8125,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
85,0.5,0.35158730158730167,0.8117647058823529,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
86,0.5,0.35297619047619044,0.811046511627907,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
87,0.5,0.35416666666666674,0.8103448275862069,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
88,0.5,0.35566816816816815,0.8096590909090909,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
89,0.5,0.35698198198198194,0.8089887640449438,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
90,0.5,0.3581081081081081,0.8083333333333333,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
91,0.5,0.3595305832147938,0.8076923076923077,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
92,0.5,0.3607752489331437,0.8070652173913043,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
93,0.5,0.36184210526315785,0.8064516129032258,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
94,0.5,0.363191632928475,0.8058510638297872,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
95,0.5,0.3643724696356275,0.8052631578947368,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
96,0.5,0.3653846153846154,0.8046875,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
97,0.5,0.3666666666666667,0.8041237113402062,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
98,0.5,0.36778846153846145,0.8035714285714286,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
99,0.5,0.3687499999999999,0.803030303030303,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
100,0.5,0.36996951219512186,0.8025,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
101,0.5,0.3710365853658537,0.801980198019802,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
102,0.5,0.3719512195121951,0.8014705882352942,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
103,0.5,0.37311265969802554,0.8009708737864077,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
104,0.5,0.37412891986062724,0.8004807692307693,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
105,0.5,0.375,0.8,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
106,0.5,0.37610741971207085,0.7995283018867925,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
107,0.5,0.37707641196013286,0.7990654205607477,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
108,0.5,0.37790697674418605,0.7986111111111112,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
109,0.5,0.37896405919661735,0.7981651376146789,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
110,0.5,0.3798890063424948,0.7977272727272727,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
111,0.5,0.38068181818181823,0.7972972972972973,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
112,0.5,0.38169191919191914,0.796875,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
113,0.5,0.38257575757575757,0.7964601769911505,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
114,0.5,0.3833333333333333,0.7960526315789473,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
115,0.5,0.3842995169082126,0.7956521739130434,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
116,0.5,0.38514492753623186,0.7952586206896551,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
117,0.5,0.38586956521739135,0.7948717948717948,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
