Passo,Nível_de_Compartilhamento,Justiça,Satisfação,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
1,0.5,-0.6666666666666666,-0.3333333333333333,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
2,0.5,0.0,0.3333333333333333,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
3,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
4,0.5,1.1666666666666667,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
5,0.5,1.1666666666666667,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
6,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
7,0.5,1.0555555555555556,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
8,0.5,1.0555555555555556,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
9,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
10,0.5,1.0277777777777777,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
11,0.5,1.0277777777777777,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
12,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
13,0.5,1.0166666666666666,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
14,0.5,1.0166666666666666,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
15,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
16,0.5,1.011111111111111,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
17,0.5,1.0111111111111113,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
18,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
19,0.5,1.007936507936508,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
20,0.5,1.0079365079365081,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
21,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
22,0.5,1.005952380952381,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
23,0.5,1.005952380952381,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
24,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
25,0.5,1.0046296296296295,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
26,0.5,1.0046296296296295,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
27,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
28,0.5,1.0037037037037038,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
29,0.5,1.0037037037037038,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
30,0.5,1.0,1.0,0.0,6.0,0.5,3,FD-NoF Transitiva,0.75,0.95,0.05,1
