SubmitTime RunTime JobID UserID PeerID TraceID Cluster.IAT Cluster.JRT Cluster.TRT
10 15 0 U0 P0 gwa-t2 C1 C3 C3
10 15 0 U0 P0 gwa-t2 C1 C3 C3
10 15 0 U0 P0 gwa-t2 C1 C3 C3
10 15 0 U1 P1 gwa-t2 C1 C3 C3
10 15 0 U1 P1 gwa-t2 C1 C3 C3
10 15 0 U2 P2 gwa-t2 C1 C3 C3
10 15 0 U2 P2 gwa-t2 C1 C3 C3
10 15 0 U3 P3 gwa-t2 C1 C3 C3
10 15 0 U3 P3 gwa-t2 C1 C3 C3
10 15 0 U5 P5 gwa-t2 C1 C3 C3
10 15 0 U5 P5 gwa-t2 C1 C3 C3
10 15 0 U5 P5 gwa-t2 C1 C3 C3
610 15 1 U1 P1 gwa-t2 C1 C3 C3
610 15 1 U1 P1 gwa-t2 C1 C3 C3
610 15 1 U1 P1 gwa-t2 C1 C3 C3
610 15 1 U2 P2 gwa-t2 C1 C3 C3
610 15 1 U2 P2 gwa-t2 C1 C3 C3
610 15 1 U3 P3 gwa-t2 C1 C3 C3
610 15 1 U3 P3 gwa-t2 C1 C3 C3
610 15 1 U4 P4 gwa-t2 C1 C3 C3
610 15 1 U4 P4 gwa-t2 C1 C3 C3
610 15 1 U5 P5 gwa-t2 C1 C3 C3
610 15 1 U5 P5 gwa-t2 C1 C3 C3
610 15 1 U5 P5 gwa-t2 C1 C3 C3
1210 15 2 U2 P2 gwa-t2 C1 C3 C3
1210 15 2 U2 P2 gwa-t2 C1 C3 C3
1210 15 2 U2 P2 gwa-t2 C1 C3 C3
1210 15 2 U3 P3 gwa-t2 C1 C3 C3
1210 15 2 U3 P3 gwa-t2 C1 C3 C3
1210 15 2 U4 P4 gwa-t2 C1 C3 C3
1210 15 2 U4 P4 gwa-t2 C1 C3 C3
1210 15 2 U0 P0 gwa-t2 C1 C3 C3
1210 15 2 U0 P0 gwa-t2 C1 C3 C3
1210 15 2 U5 P5 gwa-t2 C1 C3 C3
1210 15 2 U5 P5 gwa-t2 C1 C3 C3
1210 15 2 U5 P5 gwa-t2 C1 C3 C3
1810 15 3 U3 P3 gwa-t2 C1 C3 C3
1810 15 3 U3 P3 gwa-t2 C1 C3 C3
1810 15 3 U3 P3 gwa-t2 C1 C3 C3
1810 15 3 U4 P4 gwa-t2 C1 C3 C3
1810 15 3 U4 P4 gwa-t2 C1 C3 C3
1810 15 3 U0 P0 gwa-t2 C1 C3 C3
1810 15 3 U0 P0 gwa-t2 C1 C3 C3
1810 15 3 U1 P1 gwa-t2 C1 C3 C3
1810 15 3 U1 P1 gwa-t2 C1 C3 C3
1810 15 3 U5 P5 gwa-t2 C1 C3 C3
1810 15 3 U5 P5 gwa-t2 C1 C3 C3
1810 15 3 U5 P5 gwa-t2 C1 C3 C3
2410 15 4 U4 P4 gwa-t2 C1 C3 C3
2410 15 4 U4 P4 gwa-t2 C1 C3 C3
2410 15 4 U4 P4 gwa-t2 C1 C3 C3
2410 15 4 U0 P0 gwa-t2 C1 C3 C3
2410 15 4 U0 P0 gwa-t2 C1 C3 C3
2410 15 4 U1 P1 gwa-t2 C1 C3 C3
2410 15 4 U1 P1 gwa-t2 C1 C3 C3
2410 15 4 U2 P2 gwa-t2 C1 C3 C3
2410 15 4 U2 P2 gwa-t2 C1 C3 C3
2410 15 4 U5 P5 gwa-t2 C1 C3 C3
2410 15 4 U5 P5 gwa-t2 C1 C3 C3
2410 15 4 U5 P5 gwa-t2 C1 C3 C3
3010 15 5 U0 P0 gwa-t2 C1 C3 C3
3010 15 5 U0 P0 gwa-t2 C1 C3 C3
3010 15 5 U0 P0 gwa-t2 C1 C3 C3
3010 15 5 U1 P1 gwa-t2 C1 C3 C3
3010 15 5 U1 P1 gwa-t2 C1 C3 C3
3010 15 5 U2 P2 gwa-t2 C1 C3 C3
3010 15 5 U2 P2 gwa-t2 C1 C3 C3
3010 15 5 U3 P3 gwa-t2 C1 C3 C3
3010 15 5 U3 P3 gwa-t2 C1 C3 C3
3010 15 5 U5 P5 gwa-t2 C1 C3 C3
3010 15 5 U5 P5 gwa-t2 C1 C3 C3
3010 15 5 U5 P5 gwa-t2 C1 C3 C3
3610 15 6 U1 P1 gwa-t2 C1 C3 C3
3610 15 6 U1 P1 gwa-t2 C1 C3 C3
3610 15 6 U1 P1 gwa-t2 C1 C3 C3
3610 15 6 U2 P2 gwa-t2 C1 C3 C3
3610 15 6 U2 P2 gwa-t2 C1 C3 C3
3610 15 6 U3 P3 gwa-t2 C1 C3 C3
3610 15 6 U3 P3 gwa-t2 C1 C3 C3
3610 15 6 U4 P4 gwa-t2 C1 C3 C3
3610 15 6 U4 P4 gwa-t2 C1 C3 C3
3610 15 6 U5 P5 gwa-t2 C1 C3 C3
3610 15 6 U5 P5 gwa-t2 C1 C3 C3
3610 15 6 U5 P5 gwa-t2 C1 C3 C3
4210 15 7 U2 P2 gwa-t2 C1 C3 C3
4210 15 7 U2 P2 gwa-t2 C1 C3 C3
4210 15 7 U2 P2 gwa-t2 C1 C3 C3
4210 15 7 U3 P3 gwa-t2 C1 C3 C3
4210 15 7 U3 P3 gwa-t2 C1 C3 C3
